Verse_number,vagga,verse_en,verse_sn,meaning_en,meaning_sn
119,,"Pápo pi passatì bhadraí  yáva pápaí na paccati, yadá ca paccatì pápaí  atha pápo pápáni passati.","පාපොපි පස්සති භද්‍රං
යාව පාපං න පච්චති
යදා ච පච්චති පාපං
අථ පාපො පාපානි පස්සති.","It may be well with the evil-doer as long as the evil has not ripened, but when it does ripen, then the evil-doer sees (the painful results of) his evil deeds. 4Evil 51","පව් කරමින් පාපයක් දකින්නේ,
එය පල දෙන තුරු සැපක් ලෙසින්නේ,
යම් විටෙකද ඒ පව් පල දෙන්නේ,
එවිටයි බිහිසුණු බව දැනගන්නේ."
120,,"Bhadro pi passatì pápaí  yáva bhadraí na paccati, yadá ca paccatì bhadraí  atha bhadro bhadráni passati.","භද්‍රො පි පස්සති පාපං
යාව භද්‍රං න පච්චති
යදා ච පච්චති භද්‍රං
අථ භද්‍රො භද්‍රානි පස්සති.","It may be ill with the doer of good as long as the good has not ripened, but when it does ripen, then the doer of good sees (the pleasant results of) his good deeds.  5","පින් කරමින් පින් කමක් දකින්නේ,
එය පලදෙන තුරු දුකක් ලෙසින්නේ,
යම් විටෙකදී නම් පින් පල දෙන්නේ,
එවීටයි ඔහු එහි හොඳකම දැක ගන්නේ."
121,,"Mávamaññetha pápassa  “Na maí taí ágamissati,” udabindunipátena  udakumbho pi púrati, púrati bálo pápassa  thokathokam pi ácinaí.","මාප්ප මඤේඤථ පාපස්ස
“න මං තං ආගමිස්සති,”
උදබින‍්දු නිපාතෙන
උදකුම්භොපි පූරති,
පුරති බාලො පාපස්ස
ථොක ථොකම්පි ආචිණං.","Do not think lightly of evil, saying, “It will not come to me.” Drop by drop is the water pot filled; likewise the fool, gathering it little by little, fills himself with evil.  6","“විපාක මා වෙත නැත පැමිණෙන්නේ,
යනුවෙන් එය සුළු කොටයි සිතන්නේ,
බිඳ බිඳ එක්වී කලය පිරෙන්නේ,
එහෙමයි පවිටු ට පව් රැස්වන්නේ."
122,,"Mávamaññetha puññassa  “Na maí taí ágamissati,” udabindunipátena  udakumbho pi púrati, púrati dhìro puññassa  thokathokam pi ácinaí.","මාප්පමඤේඤෙථ පුඤ්ඤස්ස
න මං තං ආගමිස්සති,
උදබින‍්දු නිපාතෙන
උදකුම්භොපි පූරති
පූරති ධීරො පුඤ්ඤස්ස
ථොකථොකම්පි ආචිණං.","Do not think lightly of good, saying, “It will not come to me.” Drop by drop is the water pot filled; likewise the wise man, gathering it little by little, fills himself with good. 7","“ඒ සුළු පිනේ විපාකය මා කරා නො එන්නේ ය” යි සිතා
පින සුළුකොට නොතැකිය යුතු ය.
දිය බින්දුව බින්දුව වැටීමෙන් කළය පිරෙයි,
එ මෙන් නුවණැත්තා ටික ටික පින් රැස් කරමින් පිනෙන් පිරේ."
123,,"Váóijo va bhayaí maggaí  appasattho mahaddhano, visaí jivitukámo va  pápáni parivajjaye.","වාණිජෝව භයං මග්ගං
අප්පස්සත්ථො මහද්ධනො,
විසං ජිවිතුකාමොව
පාපානි පරිවජ්ජයෙ. ","Just as a trader with a small escort and great wealth would avoid a perilous route, or just as one desiring to live avoids poison, even so should one shun evil deeds. 8","“ගැල් කිහිපයක් ඇති “මද පිරිසක් ඇති වෙලදෙක් යන්නේ ,
 බිය ගෙන දෙන මග අත හැර ලමිනේ ,
සොර සතුරන් දෙන විස නොම කන්නේ,
නුවනැතියා හැම පව් නොකරන්නේ …"
124,,Páóimhi ce vaóo nássa  hareyya páóiná visam; nábbaóam visam anveti  natthi pápam akubbato.,"පාණම්හි චෙ වණො නාස්ස
හරෙය්‍ය පාණිනා විසං
නාබ්බණං විසමන්චෙ තී,
නත‍්ථී පාපං අකුබ්බතො. ","If on the hand there is no wound, one may even carry poison in it. Poison does not affect one who is free from wounds, and for him who does no evil, there is no ill.  952 Pápavagga","ඉදින් අත්ලේ තුවාලයක් නැති නම්
අතින් විෂ ඇල්ලිය හැක.
තුවාලයක් නැති විට විෂ ශරීරගත නොවේ,
එමෙන් පව් නො කරන්නහුට
පවක නපුරු ආදීනවයක් නොලැබෙන්නේය. 
"
125,,"Yo appaduþþhassa narassa dussati  suddhassa posassa anaògaóassa, tam eva bálaí pacceti pápaí  sukhumo rajo paþivátaí va khitto.","යො අප්පදුට්ඨස්ස නරස්ස දුස්සති
සුද්ධස්ස පොසස්ස අනංගණස්ස,
තමෙව බාලං පච්චෙති පාපං
සුඛුමො රජො පටිවෙතං ච ඛිත්තො. ","Like fine dust thrown against the wind, evil falls back upon that fool who offends an inoffensive, pure, and guiltless man. 10","අනුන් ට විපතක් නො කළ,
පිරිසිඳු සිතැති (කෙලෙස්) දොස් නැති පුද්ගලයකු ට විපතක් කෙරේ ද,
ඒ ක්‍රියාවේ විපාකය ඒ අඥානයා කරා ම හැරී එයි,
(කුමක් මෙන් ද?) උඩු සුළඟ ට දැමු සියුම් දූලි
දැමූ මිනිසා වෙත ම හැරී එන්නාක් මෙනි."
126,,"Gabbham eke uppajjanti  nirayaí pápakammino, saggaí sugatino yanti  parinibbanti anásavá.","ගබ්පමෙකෙ උප්පජ්ජන්ති,
නිරයං පාපකම්මිනො,
සග්ගං සුගතිනො යන්ති
පරිනිබ්බන්ති අනාසවා.",Some are born in the womb ; the wicked are born in hell; the devout go to heaven; the canker-free attain Nibbána. 11,"ඇතැම් කෙනෙක් මවු කුසෙහි උපදිත්,
පව් කළො නරකයෙ හි උපදිත්,
පින් කලෝ ස්වර්ගය ට යත්,
ආශ්‍රව නැත්තෝ (රහත්හූ) පිරිනිවෙත්,
(කිසි තැනක නූපදිත්)
"
127,,Na antalikkhe na samuddamajjhe  na pabbatánaí vivaraí pavissa na vijjatì so jagatippadeso  yatthaþþhito muñceyya pápakammá.,"න අන්තලික්ඛෙ, න සමුද්දමජ්ඣෙ,
න පබ්බතානං විවරං පවිස්ස,
න විජ්ජති සො ජගතිප්පදෙසො
යත‍්ථට්ඨිතො මුඤේචෙය්‍ය පාපකම්මා.","Neither in the sky, nor in mid-ocean, nor by entering into mountain clefts—nowhere in the world is there a place where one may escape from the result of an evil deed. 12","අකුශල කොට අහසෙහි සැගවෙන්නේ,
හැකිනම් මහා සයුරෙහි මැද උන්නේ,
කොතැනක සිටියත් පව් පල දෙන්නේ,
ඉන් ගැලවීමක් නම් නැත සිදුවන්නේ."
128,,Na antalikkhe na samuddamajjhe  na pabbatánaí vivaraí pavissa na vijjatì so jagatippadeso  yatthaþþhito nappasaheyya maccu.,"න අන්තලික්ඛෙ, න සමුද්දමජ්ඣෙ,
න පබ්බතානං විවරං පවිස්ස,
න විජ්ජතී සො ජගතිප්පදෙසො
යත‍්ථට්ඨිතං නප්පසහෙථ මච්චු.","Neither in the sky, nor in mid-ocean, nor by entering into mountain clefts—nowhere in the world is there a place where one will not be overcome by death. ","මාරයා අහසෙහි නැතිනම් මුහුදේද ඉන්නේ,
පරුවත සිදුරක හෝ සැඟවෙන්නේ,
ගැලවීමට ලොව තැනක් නොවන්නේ.
මරුගෙන් ගැලවීමක් නැත වන්නේ.
පර්වතයක කුහරයකට වැදී සිටියත්
මාරයාගෙන් නො මිදේ."
129,,"Sabbe tasanti daóðassa  sabbe bháyanti maccuno, attánaí upamaí katvá  na haneyya na ghátaye.","සඛ්බේ තසන්ති දණ්ඩස්ස
සඛ්බේ භායන්ති මච්චුනෝ
අත්තානං උපමං කත‍්වා
න හනෙය්‍ය, න ඝාතයේ.","All tremble at violence, all fear death. Putting oneself in the place of another, one should not kill nor cause another to kill. 1",සියල්ලෝ දඩුවමට තැති ගනිත්. සියලූ දෙන මරණයට භය වෙත්. තමා උපමා කොට සිතා අනුන්ට හිංසා නො කරන්න. අනුන් නො නසන්න
130,,"Sabbe tasanti daóðassa  sabbesaí jìvitaí piyaí, attánaí upamaí katvá  na haneyya na ghátaye.","සඛ්බේ තසන්ති දණ්ඩස්ස
සඛ්බේසං ජීවිතං පියං
අත්තානං උපමං කත‍්වා
න හනෙය්‍ය, න ඝාතයේ.","All tremble at violence, life is dear to all. Putting oneself in the place of another, one should not kill nor cause another to kill. 2","සියල්ලෝ පෙලීම ට හෝ දඩුවමට තැති ගනිත්,
ජීවිතය සියල්ලන් ට ප්‍රිය වේ.
තමා දඩුවම ට බිය බව ත් ජීවිතය තමා ට ප්‍රිය බව ත් සලකා
අනුන්ට හිංසා නො කරන්න.  අනුන් නො නසන්න"
131,,"Sukhakámáni bhútáni  yo daóðena vihiísati, attano sukham esáno  pecca so na labhate sukhaí.","සුඛ කාමානි භූතානි
යෝ දණ්ඩේන විහිංසති
අත්තනෝ සුඛමේසානෝ,
පෙච්ච සෝ න ලභතේ සුඛං","One who, while himself seeking happiness, oppresses with violence other beings who also desire happiness, will not attain happiness hereafter. 3","යමෙක් තමා සැප ලබන බලාපොරොත්තුවෙන්
තමා මෙන්ම සැප කැමති (හිංසා පීඩා නො කැමති) අනෙකුත් සත්වයන් ට හිංසා පීඩා කෙරේ ද,
හෙතෙම පරලොවදී සැප නො ලබයි."
132,,"Sukhakámáni bhútáni  yo daóðena na hiísati, attano sukham esáno  pecca so labhate sukhaí.","යමෙක් තමා සැප ලබන බලාපොරොත්තුවෙන්
තමා මෙන්ම සැප කැමති (හිංසා පීඩා නො කැමති) අනෙකුත් සත්වයන් ට හිංසා පීඩා කෙරේ ද,
හෙතෙම පරලොවදී සැප නො ලබයි.","One who, while himself seeking happiness, does not oppress with violence other beings who also desire happi-ness, will find happiness hereafter. 454 Daóðavagga","යමෙක් තමා සැප ලබන අදහසින්
සැප කැමති අන්‍ය සත්ත්වයන් නොපෙලයිද,
හිංසා නො කෙරේ ද,
හෙතෙම පරලොවදී සැප ලබයි."
133,,"Mávoca pharusaí kañci,  vuttá paþivadeyyu taí, dukkhá hi sárambhakathá  paþidaóðá phuseyyu taí.","මාවෝච ඵරුසං කංචි,
වුත්තා පටිවදෙය්‍යු තං
දුක්ඛා හි සාරමහකථා,
පටිදණ්ඩා ඵුසෙය්‍යු තං.","Do not speak harshly to anyone; for those thus spoken to might retort. Indeed, vindictive speech hurts, and retaliation may overtake you. 5","කිසිවෙකුට නපුරු වචන නො කිය යුතු.
එසේ කියු විට ඔවුන්  ඔබට ද පරුෂ වචන කියන්නාහු ය. මෙසේ එකටෙක කියා ගැනීම දුකකි.
ඔබ අනුන්ට පහර දුනහොත් ඔබට ද පහර වදිනවා ඇත.
"
134,,"Sace neresi attánaí  kaíso upahato yathá, esa patto’si nibbánaí,  sárambho te na vijjati.","සචේ නෙරේසි අත්තානං
කංසෝ උපහතෝ යථා
ඒස පත්තෝසි නිබ්බාණං
සාරම්භෝ තේ න විජ්ජති. ","If, like a broken gong, you silence yourself, you have approached Nibbána, for vindictiveness is no more in you. 6","බිඳී ගිය ලෝහ තැටියකට ලී කැබැල්ලකින් ගැසූ විට
හඩ නො නගීන්නා සේ තමා නිශ්ශබ්ද කර ගත හැකි නම්
ඔබ නිවීමට පැමිණියෙකි.
එ විට එකටෙක කියාගැන්මක් ඔබ ට ඇති නො වන්නේ ය."
135,,"Yathá daóðena gopálo  gávo pájeti gocaraí, evaí jará ca maccú ca  áyuí pájenti páóinaí.","යථා දණ්ඩේන ගෝපාලෝ
ගාවෝ පාජේති ගෝචරං,
ඒවං ජරා ච මච්චූ ච
ආයුං පාජෙන්ති පාණිනං","Just as a cowherd drives the cattle to pasture with a staff, so do old age and death drive the life force of beings (from existence to existence). 7","යම් සේ ගොපල්ලා කෙවිටෙන් ගවයන් තන බිමට දක්කයි ද,
එමෙන් ජරාවත් මරණය ත් මිනිසුන්ගේ ආයුෂය ගමන් කරවයි.
(මිනිසුන් මාරයා කරා දක්කයි.)"
136,,"Atha pápáni kammáni  karaí bálo na bujjhati, sehi kammehi dummedho  aggidaððho va tappati.","අථ පාපානි කම්මානි
කරං බාලෝ න බුජ්ඣති
සේහි කම්මේහි දුම්මේධෝ
අග්ගිදඩ්ඪෝව තප්පති.","When the fool commits evil deeds, he does not realize (their evil nature). The witless man is tormented by his own deeds like one burnt by fire. 8","පව්කම් කරන්නා වූ අඥානයා
(එයින් ලැබෙන කටුක විපාකය) තේරුම් නොගනී.
ඒ පවිටු සිතැත්තා ස්වකීය ක්‍රියාවන් නිසා
ගින්නෙන් දැවෙන්නෙකු මෙන් තැවේ."
137,,"Yo daóðena adaóðesu  appaduþþhesu dussati, dasannam aññataraí þhánaí  khippam eva nigacchati.","යො දණ්ඩේන අදණ්ඩේසු
අප්පදුට්ඨේසු දුස්සති
දසන්නමඤ්ඤතරං ඨානං
ඛිපපමේව නිගච්ඡති. ","One who uses violence ag ainst those who are unarmed, and offends those who are inoffensive, will soon come upon one of these ten states: 9Violence 55","යමෙක් අනුන් ට හිංසා නො කරන්නා වූ
අනුන්ට විපත් නො පමණුවන්නා වූ පුද්ගලයන්ට
විපත් පමුණුවයි ද
හෙතෙම (මත්තෙහි කියනු ලබන) කරුණු දශයෙන් එකකට වහාම පැමිණෙයි."
138,,"Vedanaí pharusaí jánií,  sarìrassa ca bhedanaí, garukaí vápi ábádhaí,  cittakkhepaí va pápuóe.","වේදනං ඵරුසං ජානිං,
සරීරස්ස ච භේදනං,
ගරුකං වාපි ආබාධං,
චිත්තක්ඛේපං ච පාපුණේ.","He will incur sharp pain, disaster, and bodily injury, or serious illness, or derangement of mind. 10",හෙතෙම දරුණු වේදනාවකට හෝ ධන හානියකට හෝ අත් පා කැඩීම් බිදීම් ආදියකට හෝ බලවත් රෝගයකට හෝ උමතු බවට හෝ පැමිණේ.
139,,"Rájato va upasaggaí,  abbhakkhánaí va dáruóaí, parikkhayaí va ñátìnaí,  bhogánaí va pabhaòguraí.","රාජතෝ වා උපස්සග්ගං,
අබ්භක්ඛානං ව දාරුණං,
පරික්ඛයං ව ඤාතීනං,
භෝගානං ව පභඞගුරං. ","Or he will meet wth trouble from the government, or grave charges, loss of relatives, or loss of wealth. 11",හෙතෙම රජුන්ගෙන් පැමිණෙන උපද්‍රවයකට හෝ දරුණු අසත්‍ය චෝදනාවකට හෝ භාජනය වෙයි. නෑයන් ගේ විනාශයකට හෝ සම්පත් වැනසී යාමකට පැමිණෙයි.
140,,"Atha vá’ssa agáráni  aggi ðahati pávako, káyassa bhedá duppañño  nirayaí sopapajjati.","අථ වස්ස අගාරානි
අග්ගි ඩහති පාවකෝ
කායස්ස භෙදා දුප්පඤ්ඤෝ
නිරයං සෝ පපජ්ජති. ","Or his houses will be destroyed by a ravaging fire, and upon dissolution of the body that ignorant person will be reborn in hell. 12","නැතහොත් ඔහුගේ ගෙවල් ඉබේම ගිනි බත් වෙති
මරණින් මතු ඒ අඥානයා නරකයෙහි උපදී.
"
141,,"Na naggacariyá na jaþá na paòká  nánásaká thaóðilasáyiká vá, rajo ca jallaí ukkuþikappadhánaí  sodhenti maccaí avitióóakaòkhaí.","න නග්ගචරියා, න ජටා, න පංකා,
නා’නාසකා, ථණ්ඩිලසායිකා වා
රජෝ ච ජල්ලං, උක්කුටිකප්පධානං
සොධෙන්ති මච්චං අවිතිණ්ණකංඛං.","Neither going about naked, nor matted locks, nor filth, nor fasting, nor lying on the ground, nor smearing oneself with ashes and dust, nor sitting on the heels (in penance) can purify a mortal who has not overcome mental wavering. 13","වස්ත්‍ර නොහැඳ නිරුවතින් විසීම වත්, ගෙතුනු හිසකෙස් දැරීමවත්, ඇඟේ මඩ තවරා ගැනීමවත්, නොකා හිඳීමවත්, ආවරණයක් නැති පොළොවේ නිදීමවත්, ඇඟේ කුණුගොඩ ගැසී පතුරු හැලෙනතෙක් නොනා හිඳීමවත් නොනැගටි නොනිදා උක්කුටියෙන් හිඳීමවත් (මාර්ගයෙහි සැක ඇති)  පුද්ගලයා පිරිසිඳු නො කෙරෙත්."
142,,Alaòkato ce pi samañ careyya  santo danto niyato brahmacárì sabbesu bhútesu nidháya daóðaí  so bráhmaóo so samaóo sa bhikkhu. 1 4 2 .  ,"අලංකතෝ චේපි සමං චරෙය්‍ය
සන්තෝ දන්තෝ නියතෝ බ්‍රහමචාරී
සබ්බේසු භූතේසු නිධාය දණ්ඩං
සො බ්‍රහමණෝ, සෝ සමනෝ, සභිකඛු. ","E v e n  t h o u g h  h e  b e  w e l l  a d o r n e d ,  y e t  i f  h e  i s  p o i s e d , calm, controlled, and established in the holy life, having laid aside violence towards all beings —he, truly, is a holy man, a renunciate, a monk. 1456 Daóðavagga","සර්වාභරණවලින් සැරසී සිටියත්  (පව් නොකරන) සම සේ හැසිරේ ද, කෙලෙසුන් නැති බැවින් ශාන්ත ද, ඉන්ද්‍රිය දමනයෙන් යුක්ත ද, නියත වූ උප්පත්ති ඇත්තේ ද, බ්‍රහ්මචාරී වේද, සියලූ සතුන් ට හිංසා කිරීමෙන් තොර වූවේද, හෙතෙම බ්‍රාහ්මණයෙකි, ශ්‍රමණයෙකි, භික්ෂුවකි.
"
143,,"Hirìnisedho puriso  koci lokasmií vijjati yo nindaí apabodheti,  asso bhadro kasám iva.","හිරිනිසේධෝ පුරිසෝ
කෝචි ලොකසමිං විජ්ජති
යො නින‍්දං අප්පබෝධති
අස්සෝ භද්‍රෝ කසාමිව. ","Only rarely is there a man in this world who, restrained by modesty, avoids reproach, as a thoroughbred horse avoids the whip. 15","යහපත් අජානේය අශ්වයෙක් කස පහර ලැබීමට ලැජ්ජා වන්නාක් මෙන් ලැජ්ජාව නිසා පවින් දුරු වෙන්නා වූ කිසියම් පුද්ගලයෙක් ලෝකයෙහි කලාතුරකින් විද්‍යාමාන වේ. 
"
144,,Asso yathá bhadro kasániviþþho  átápino saívegino bhavátha; saddháya sìlena ca viriyena ca  samádhiná dhammavinicchayena ca sampannavijjácaraóá patissatá  pahassatha dukkham idaí anappakaí.,"අස්සෝ යථා භද්‍රෝ කසානිවිට්ඨෝ
ආතාපිනෝ සංවේගිනෝ භවාථ
සද්ධාය සීලේන ච විරියේන ච
සමාධිනා ධම්මවිනිච්ඡයේන ච
සම්පන්නවිජ්ජාචරණා පතිස්සතා
පහස්සථ දුක්ඛමිදං අනප්පකං.","Like a thoroughbred horse touched by the whip, be strenuous, be filled with spiritual yearning. By faith and moral purity, by effort and meditation, by investigation of the truth, by being rich in know ledge and virtue, and by being mindful, destroy this unlimited suffering. 16","කසෙන් තැලුම් ලත් අසු –
මතු හැසිරෙයි අසරු අණට
සසර දුක් දැන- ඉදිරියේ භය දැන
මේ ඝෝර සසරෙන් මිදෙව්

ශ්‍රද්ධාවෙන් ද ශීලයෙන් ද වීර්යයෙන් ද සමාධි වැඩීමෙන්  ධර්මයෙන් පිරිසිඳු ව දැන ගැන්මෙන් ද ත්‍රිවිද්‍යාවන් හා පසළොස්චරණ ධර්මයෙන් ලැබුවාහු, හැම විට ම එළඹ සිටි සිහි ඇත්තෝ වව්. මේ අනල්ප වූ දුක දුරු කරව්."
145,,"Udakaí hi nayanti nettiká,  usukárá namayanti tejanaí, dáruí namayanti tacchaká,  attánaí damayanti subbatá.","උදකං හි නයන්ති නෙත්තිකා,
උසුකාරා නමයන්ති තේජනං,
දාරුං නමයන්ති තච්ඡකා,
අත්තානං දමයන්ති සුබ්බතා. ",Irrigators regulate the waters; arrow-makers straighten arrow shafts; carpenters shape wood; and the good control themselves. 175711,වාරි කාර්මිකයෝ කුඹුරු ආදියට ජලය සපයන්නට  (තමන් කැමති තැනට) ජලය ගෙනයත්. ඊතල සාදන්නෝ තමන් කැමති සේ ඊතල සකස් කරත්. වඩුවෝ ලී නමා ගනිත්. මනා පැවතුම් ඇත්තෝ තමන් ගේ සිත් හික්මවා ගනිත්
146,,Ko nu háso kim ánando  niccaí pajjalite sati?,"කො නු හාසො කිමානන්දො
නිච්චං පජ්ජලිතෙ සති?
අන‍්ධකාරෙන ඔනද්ධා
පදීපං න ගවෙස්සථ?","When this world is ever ablaze, why this laughter, why this jubilation? Shrouded in darkness, why don’t you seek the light? 1","මේ ශරීරය (රාග, ද්වේශ, මෝහ, ජාති, ජරා, මරණ, ශෝක, පරිදේව, දුක්, දොම්නස්, බලවත් සිත් තැවිල්ල යන) ගිනි එකොළොසකින් නිතර දැවෙන කල් හී කවර සිනාවක් ද? කවර ප්‍රීතියක් ද?
මෝහන්ධකාරයෙන් වැසී ගිය තෙපි
එය දුරු කර ගැනීමට
නුවණ නැමැති පහනක් නො සොයව් ද?
"
147,,Passa cittakataí bimbaí  arukáyaí samussitaí áturaí bahusaòkappaí  yassa natthi dhuvaí þhiti.,"පස්ස චිත්තකතං බිම්බං
ආරුකායං සමුස්සිතං
ආතුරං බහුසංකප්පං,
යස්ස නත‍්ථී ධුවං ඨිති.","Behold this body, a painted image, a mass of heaped up sores—infirm, full of hankering, with nothing lasting or stable. 2","යම් ශරීරයක්හු ගේ ස්ථීර පැවැත්මක් නැද්ද,
සිතියම් කරන ලද රූපයක් වැනි වූ,
ඇට කටුවලින් ඔසවා තබන ලද වණ සමූහයක් වැනි වූ,
රෝගියෙකු වැනි වූ,
නොයෙක් බාහිර විසිතුරෙන් සරසන ලද්දාවූ
මේ  සිරුර දෙස බලව්. "
148,,"Parijióóaí idaí rúpaí  roganiððhaí pabhaòguraí, bhijjati pútisandeho  maraóantaí hi jìvitaí.","පරිජිණ්ණමිදං රූපං
රොගනිඩ්ඪං පභංගුරං
භිජ්ජති පූතිසන්දෙහො
මරණන්තං හි ජීවිතං","Fully worn out is this body, a nest of disease, and fragile.","දිරන ස්වාභාවය ඇති මේ ශරීරය රෝගයන්ට ආකරයකි,
වහා බිදී යන ස්වභාව ඇත්තකි.
මේ කුණු (වැගිරෙන) ශරීරය බිදී යයි.
ජීවිතය මරණය කෙළවර කොට ඇත්තේ ය.
"
149,,Yán’imáni apattháni  alápún’eva sárade kápotakáni aþþhìni  táni disvána ká rati?,"යානි මානි අපත‍්ථානි
අලාපූනෙව සාරදෙ
කාපොතකානි අට්ඨිනි,
තානි දිස්වාන කා රති?","These dove-coloured bones are like gourds that lie scat- tered about in autumn; having seen them, how can one seek delight? 458 Jarávagga","සරත් කාලයෙ හි හටගත්
(අළු පැහැති) ලබු කටු මෙන් තැනින් තැන දමා තිඛෙන
අළු පැහැති ඇට දැකීමෙන්
කෙසේ නම්ඇලීමක් ඇතිවේද"
150,,Aþþhìnaí nagaraí kataí  maísalohitalepanaí yattha jará ca maccú ca  máno makkho ca ohito.,"අට්ඨිනං නගරං කතං
මංසලොහිතලෙපනං
යත‍්ථ ජරා ච මච්චු ච
මානො මක්ඛො ච ඔහිතො","The body is a city built of bones, plastered with flesh and blood, containing within decay and death, pride and contempt. 5","ඇට (කණු මෙන් සිටුවා) මස් ලේ ආලේප කිරීමෙන්
(හෙවත් මස් ලේ නමැති මැටි ගැසීමෙන්) කළ නගරයක් වේ.
එහි ජරාව ද මරණය ද මානය ද අනුන් ගුණ මැකීම ද වාසය කරත්.
(ඒවා එහි බහා තබන ලදහ.)
"
151,,"Jìranti ve rájarathá sucittá  atho sarìram pi jaraí upeti, satañ ca dhammo na jaraí upeti,  santo have sabbhi pavedayanti.","ජීරන්ති වෙ රාජරථා සුචිත්තා
අතො සරීරම්පි ජරං උපෙති
සතං ච ධම්මො න ජරං උපෙති
සන්තො හවෙ සබ්භී පවෙදයන්ති","Even gorgeous royal chariots wear out, and this body too wears out. But the Dhamma of the good does not age; thus the good make it known to the good. 6",මනාසේ විසිතුරු කැටයමින් සැරසූ රජුන් ගේ රථයෝ ද ඒකාන්තයෙන් දිරීමට පත්වෙත්. එසේම ශරීරය ද දිරීමට පත් වේ. සත්පුරුෂයන් ගේ ධර්මය දිරීමට පත් නො වෙයි. බුද්ධාදී උත්තමයෝ මේ කාරණය නියත වශයෙන් ප්‍රකාශ කරත්.
152,,"Appassut’áyaí puriso  balivaddo va jìrati; maísáni tassa vaððhanti,  paññá tassa na vaððhati.","අප්පස්සුතායං පුරිසො
බලිවද්දොව ජීවති
මංසානි තස්ස වඩ්ඪන්ති,
පඤ්ඤා තස්ස න වඩ්ඪති.","The man of little learning grows old like a bull: he grows only in bulk, but his wisdom does not grow. 7","නූගත් මිනිසා ගොනෙකු මෙන්
(කා බී) ජීවත්වෙයි.
ඔහු ගේ මස් වැඩේ, නුවණ  නො වැඩේ."
153,,Anekajátisaísáraí  sandhávissaí anibbisaí gahakárakaí gavesanto:  dukkhá játi punappunaí.,"අනෙක ජාති සංසාරං
සන‍්ධාවිස්සං අනිබ්බිසං
ගහකාරකං ගවෙසන්තො
දුක්ඛා ජාති පුනප්පුනං.","Through many a birth in saísára have I wandered in vain, seeking the builder of this house (of life). Repeated birth is indeed suffering! 8","නැවත නැවත ඉපදීම දුකකි.
මම ශරීර නමැති ගෙය සාදන්නා සොයමින්
ඔහු සොයා ගත නො හැකි ව
නොයෙක් ඉපදීම් ඇති සංසාරයෙහි ඇවිද්දෙමි.
(කුමක් හෙයින් ද?) .
"
154,,"Gahakáraka diþþho’si  puna gehaí na káhasi, sabbá te phásuká bhaggá,  gahakúþaí visaòkhitaí; visaòkháragataí cittaí  taóhánaí khayam ajjhagá.","ගහකාරක, දිට්ඨෝසි
පුනගෙහං න කහාසි
සබ්බා තෙ ඵාසුකා භග්ගා
ගහකුටං විසංඛිතං
විසංඛාරගතං චිත්තං
තණහානං ඛය මජඣගා.","O house-builder, you are seen! You will not build this house again. For all your raft ers are broken and your ridge- pole shattered. My mind has reached the Unconditioned:","ශරීර නැමැති ගෙය සාදන වඩුව, මම  නුඹව දිටිමි.
නුඹට  නැවත ගෙවල් සාදන්ට ලැඛෙන්නේ නැත.
නුඹගේ (කෙලෙස් නමැති) ඉල ඇට සියල්ල බිදින ලදී.
ගෙයි කැණීමඩල (මුදුන) විසිරුවා දමන ලදි.
සංස්කාරයන්ගෙන් නිදහස් වූ මාගේ සිත
තෘෂ්ණාක්ෂය නමැති නිවන ට පැමිණියේ ය.
(මේ ගාථා දෙක බුද්ධත්වය ලැබූ විගස
ප්‍රීති වාක්‍ය වශයෙන් ප්‍රකාශ කරන ලදී)
"
155,,"Acaritvá brahmacariyaí  aladdhá yobbane dhanaí, jióóakoñcá va jháyanti  khìóamacche va pallale.","අචරිත‍්වා බ්‍රහ්මචරියං
අලද්ධා යොබ්බනෙ ධනං
ජිණ්ණකොක‍දචා ව ඣායන්ති
ඛීණමච්ඡෙව පල්ලලෙ.","Those who in youth have not led the holy life, who have failed to acquire wealth, lang uish like old cranes in a pond without fish. 10","(ඉසිපතන – මහධන සිටුපුත් අරබයා)

තරුණ කාලයේ දී බ්‍රහ්මචර්යාවෙ හි නො යෙදී,
(ගිහියන් විසින් ලැබිය යුතු) ධනය ත් නො ලැබ
හෙවත් රැස් කර නො ගෙන,
මසුන් නැති දිය සිදුණු විලක තැවෙන්නා වූ
මහලූ කොස්වා ලිහිණි මෙන් තැවෙත්.
"
